#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;True;True;unity;DeviceLocationProvider;20180518-090825.371;20180518-090825.000;37.78717000;-122.40775500;3.0;185.5;229.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090825.874;20180518-090825.000;37.78717000;-122.40775500;3.0;185.5;215.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090826.378;20180518-090826.000;37.78718000;-122.40775310;3.0;266.9;216.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090826.883;20180518-090826.000;37.78718000;-122.40775310;3.0;266.9;218.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090827.386;20180518-090827.000;37.78719300;-122.40775210;3.0;320.6;234.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090827.890;20180518-090827.000;37.78719300;-122.40775210;3.0;320.6;242.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090828.394;20180518-090828.000;37.78720000;-122.40774920;3.0;320.6;238.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090828.896;20180518-090828.000;37.78720000;-122.40774920;3.0;320.6;239.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090829.399;20180518-090829.000;37.78721210;-122.40774640;3.0;349.4;231.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090829.904;20180518-090829.000;37.78721210;-122.40774640;3.0;349.4;237.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
