#location service enabled;location service initializing;location updated;heading updated;location provider;location provider class;UTC device;UTC location;lat;lng;accuracy[m];user heading[°];device orientation[°];speed;has gps fix;satellites used;satellites in view
True;False;False;False;unity;DeviceLocationProvider;20180516-101929.695;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;177.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101929.705;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;185.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101929.738;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;185.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101929.772;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;184.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101929.805;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;183.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101929.838;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;180.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101929.872;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;179.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101929.906;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;183.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101929.939;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;182.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101929.973;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;179.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.006;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;181.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.040;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;180.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.075;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;180.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.108;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;185.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.140;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;183.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.174;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;183.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.208;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;187.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.241;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;184.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.275;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;187.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.309;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;181.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.342;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;184.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.376;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;183.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.409;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;184.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.443;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;185.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.476;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;183.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.510;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;181.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.543;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;179.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.577;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;181.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.611;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;182.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.644;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;182.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.678;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;182.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.711;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;184.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.746;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;185.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.778;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;182.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.812;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;184.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.846;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;183.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.879;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;182.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.913;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;183.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.946;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;183.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101930.980;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;181.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101931.013;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;182.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101931.047;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;182.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101931.081;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;184.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101931.115;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;182.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-101931.150;20180516-101923.562;48.35732270;15.60961820;82.0;0.0;183.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
