#location service enabled;location service initializing;location updated;heading updated;location provider;location provider class;UTC device;UTC location;lat;lng;accuracy[m];user heading[°];device orientation[°];speed;has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.204;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;308.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.237;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;305.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.271;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;308.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.304;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;310.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.338;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;313.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.372;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;312.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.405;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;312.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.438;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;310.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.472;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;310.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.505;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;314.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.539;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;314.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.575;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;311.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.609;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;306.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.641;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;314.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.675;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;310.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.709;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;313.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.742;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;317.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.775;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;318.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.810;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;317.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.843;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;317.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.876;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;317.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.911;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;318.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.943;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;311.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102243.976;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;313.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.015;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;315.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.044;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;314.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.077;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;314.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.110;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;314.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.145;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;316.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.178;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;315.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.213;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;313.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.248;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;322.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.278;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;327.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.313;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;317.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.347;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;311.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.379;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;321.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.413;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;322.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.446;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;310.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.479;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;311.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.513;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;307.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.549;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;309.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.581;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;312.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.614;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;320.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.648;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;324.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.681;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;322.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.715;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;319.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.750;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;318.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.782;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;323.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.816;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;309.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.850;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;293.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.882;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;303.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.916;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;335.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.951;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;325.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102244.987;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;308.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.017;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;304.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.051;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;300.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.084;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;297.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.117;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;324.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.151;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;343.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.184;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;333.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.218;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;319.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.252;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;332.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.287;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;328.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.319;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;325.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.352;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;328.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.387;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;333.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.420;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;337.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.454;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;330.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.492;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;323.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.520;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;326.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.554;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;323.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.588;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;303.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.621;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;290.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.655;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;281.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.689;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;282.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.721;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;279.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.756;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;284.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.791;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;301.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.822;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;327.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.856;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;321.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.891;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;313.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.923;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;308.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.956;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;310.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102245.990;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;313.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.023;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;313.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
