#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;True;True;unity;DeviceLocationProvider;20180521-212921.813;20180521-212922.000;37.78905000;-122.39840000;22.0;183.9;196.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212922.314;20180521-212922.000;37.78905000;-122.39840000;22.0;183.9;195.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212922.816;20180521-212923.000;37.78904340;-122.39840000;24.0;183.9;187.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212923.318;20180521-212923.000;37.78904340;-122.39840000;24.0;183.9;191.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212923.817;20180521-212924.000;37.78903200;-122.39840000;27.0;180.0;189.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212924.320;20180521-212924.000;37.78903200;-122.39840000;27.0;180.0;189.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212924.819;20180521-212925.000;37.78902440;-122.39840700;31.0;199.4;185.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212925.320;20180521-212925.000;37.78902440;-122.39840700;31.0;199.4;185.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212925.822;20180521-212926.000;37.78902000;-122.39841500;27.0;199.4;190.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212926.323;20180521-212926.000;37.78902000;-122.39841500;27.0;199.4;185.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212926.824;20180521-212926.000;37.78902000;-122.39841500;27.0;199.4;188.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212927.325;20180521-212926.000;37.78902000;-122.39841500;27.0;199.4;184.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212927.827;20180521-212928.000;37.78901290;-122.39842200;18.0;215.7;191.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212928.328;20180521-212928.000;37.78901290;-122.39842200;18.0;215.7;193.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212928.829;20180521-212929.000;37.78899770;-122.39842200;16.0;201.6;199.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212929.330;20180521-212929.000;37.78899770;-122.39842200;16.0;201.6;201.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212929.832;20180521-212930.000;37.78898240;-122.39842200;16.0;193.1;197.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212930.332;20180521-212930.000;37.78898240;-122.39842200;16.0;193.1;200.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212930.835;20180521-212931.000;37.78897000;-122.39842200;12.0;185.3;204.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212931.335;20180521-212931.000;37.78897000;-122.39842200;12.0;185.3;201.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212931.836;20180521-212932.000;37.78896000;-122.39842200;12.0;180.0;196.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212932.337;20180521-212932.000;37.78896000;-122.39842200;12.0;180.0;201.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212932.838;20180521-212933.000;37.78894810;-122.39843000;10.0;195.4;190.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212933.341;20180521-212933.000;37.78894810;-122.39843000;10.0;195.4;199.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212933.839;20180521-212934.000;37.78893280;-122.39844500;10.0;209.6;196.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212934.341;20180521-212934.000;37.78893280;-122.39844500;10.0;209.6;206.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
